firstName,lastName,birthDate,nationality,preferredLanguage,addressLine1,addressLine2,postalCode,city,countryCode,email,phoneNumber,comment,guestComment,purpose,guests,adults,children,checkInDate,checkInTime,checkOutDate,checkOutTime,unitGroup,unit,externalCode,channel,source,ratePlan,creditCardNumber,totalGrossAmount,id,property,bookingId,status,createdAt,arrival,departure,numberOfDays,guaranteeType,balance,currency,company,commission,priceBeforeCommission,promoCode,corporateCode
Oliver,Rohrer,,,,Leopoldstraße 8-10,,80802,München,DE,daisy01.sunshine01+oliver.rohrer@gmail.com,4989123343,,,,2,2,0,05/05/2021,10:00,,,Family room,3.001,,Direct,,Flexible Family,1111,346,OXMXFKKK-1,MUC,OXMXFKKK,In House,28/04/2021,05/05/2021,07/05/2021,2,CB,-346,EUR,,,,,
Amalia,Stein,,,,Leopoldstraße 8-10,,80802,München,DE,daisy01.sunshine01+amalia.stein@gmail.com,4989123343,,,,2,2,0,,,,,Double,4.015,,Direct,,Flexible,1111,123,LDZOAAZF-1,BER,LDZOAAZF,Confirmée,28/04/2021,05/05/2021,06/05/2021,1,CB,-123,EUR,,,,,
Caesar,Wisoky,,,,22 Limerick Road,,B3 1JK,Birmingham,GB,daisy01.sunshine01+caesar.wisoky@gmail.com,4989123343,,,,1,1,0,05/05/2021,10:00,,,Double,2.016,,Direct,,Include breakfast,1111,1037,BDVVKMZX-1,LND,BDVVKMZX,In House,28/04/2021,05/05/2021,12/05/2021,7,CB,-1037,GBP,,,,,
Frieda,Bühler,,,,Leopoldstraße 8-10,,80802,München,DE,daisy01.sunshine01+frieda.bühler@gmail.com,4989123343,,,,2,2,0,,,,,Double,2.015,,Direct,,Include breakfast,1111,462,KPNNQWEO-1,MUC,KPNNQWEO,Confirmée,28/04/2021,06/05/2021,09/05/2021,3,CB,-462,EUR,,,,,
Velma,Jones,,,,22 Limerick Road,,B3 1JK,Birmingham,GB,daisy01.sunshine01+velma.jones@gmail.com,4989123343,,,,1,1,0,,,,,Single,2.017,,Direct,,Flexible,1111,212,VSYCNNBZ-1,LND,VSYCNNBZ,Confirmée,28/04/2021,06/05/2021,08/05/2021,2,CB,-212,GBP,,,,,
Zara,Ritosek,,,,Leopoldstraße 8-10,,80802,München,DE,daisy01.sunshine01+zara.ritosek@gmail.com,4989123343,,,,1,1,0,,,,,Single,G.003,,Direct,,Non Refundable,1111,64,HNDRYRTJ-1,BER,HNDRYRTJ,Confirmée,28/04/2021,06/05/2021,07/05/2021,1,Prépaiement,-64,EUR,,,,,
Janne,Schönebeck,,,,Leopoldstraße 8-10,,80802,München,DE,daisy01.sunshine01+janne.schönebeck@gmail.com,4989123343,,,,1,1,0,,,,,Double,2.005,,Direct,,Non Refundable,1111,327,IVVHYUGP-1,MUC,IVVHYUGP,Confirmée,28/04/2021,06/05/2021,09/05/2021,3,Prépaiement,-327,EUR,,,,,
Romina,Koubaa,,,,Leopoldstraße 8-10,,80802,München,DE,daisy01.sunshine01+romina.koubaa@gmail.com,4989123343,,,,2,2,0,,,,,Double,G.015,,Direct,,Flexible,1111,1017,WGQKWOTJ-1,VIE,WGQKWOTJ,Confirmée,28/04/2021,07/05/2021,16/05/2021,9,CB,-1017,EUR,,,,,
Lorenz,Tonat,,,,Leopoldstraße 8-10,,80802,München,DE,daisy01.sunshine01+lorenz.tonat@gmail.com,4989123343,,,,2,2,0,,,,,Double,4.015,,Direct,,Flexible,1111,107,MTIKFALT-1,BER,MTIKFALT,Confirmée,28/04/2021,07/05/2021,08/05/2021,1,CB,-107,EUR,,,,,
Naomie,Wilderman,,,,22 Limerick Road,,B3 1JK,Birmingham,GB,daisy01.sunshine01+naomie.wilderman@gmail.com,4989123343,,,,2,2,0,,,,,Family room,3.002,,Direct,,Non Refundable Family,1111,1124,MBMQWSWW-1,LND,MBMQWSWW,Confirmée,28/04/2021,07/05/2021,15/05/2021,8,Prépaiement,-1124,GBP,,,,,
Caroline,Woytkowska,,,,Leopoldstraße 8-10,,80802,München,DE,daisy01.sunshine01+caroline.woytkowska@gmail.com,4989123343,,,,1,1,0,,,,,Double,1.009,,Direct,,Flexible,1111,220,XSKBLMQT-1,VIE,XSKBLMQT,Confirmée,28/04/2021,07/05/2021,09/05/2021,2,CB,-220,EUR,,,,,
Leonard,König,,,,Leopoldstraße 8-10,,80802,München,DE,daisy01.sunshine01+leonard.könig@gmail.com,4989123343,,,,1,1,0,,,,,Double,4.004,,Direct,,Flexible,1111,113,DUPVRQYK-1,VIE,DUPVRQYK,Confirmée,28/04/2021,08/05/2021,09/05/2021,1,CB,-113,EUR,,,,,
Stacy,Klein,,,,22 Limerick Road,,B3 1JK,Birmingham,GB,daisy01.sunshine01+stacy.klein@gmail.com,4989123343,,,,1,1,0,,,,,Single,G.007,,Direct,,Non Refundable,1111,457,KOUKMFZP-1,LND,KOUKMFZP,Confirmée,28/04/2021,09/05/2021,14/05/2021,5,Prépaiement,-457,GBP,,,,,
Melike,Östringer,,,,Leopoldstraße 8-10,,80802,München,DE,daisy01.sunshine01+melike.östringer@gmail.com,4989123343,,,,1,1,0,,,,,Family room,3.002,,Direct,,Flexible Family,1111,148,GEQPVVMO-1,MUC,GEQPVVMO,Confirmée,28/04/2021,09/05/2021,10/05/2021,1,CB,-148,EUR,,,,,
Josephine,Venghaus,,,,Leopoldstraße 8-10,,80802,München,DE,daisy01.sunshine01+josephine.venghaus@gmail.com,4989123343,,,,1,1,0,,,,,Double,3.009,,Direct,,Non Refundable,1111,167,CTRYSKEB-1,BER,CTRYSKEB,Confirmée,28/04/2021,09/05/2021,11/05/2021,2,Prépaiement,-167,EUR,,,,,
Dejuan,Dickinson,,,,22 Limerick Road,,B3 1JK,Birmingham,GB,daisy01.sunshine01+dejuan.dickinson@gmail.com,4989123343,,,,1,1,0,,,,,Double,1.004,,Direct,,Include breakfast,1111,155,AUFZRHXQ-1,LND,AUFZRHXQ,Confirmée,28/04/2021,10/05/2021,11/05/2021,1,CB,-155,GBP,,,,,
Dennis,Umlauft,,,,Leopoldstraße 8-10,,80802,München,DE,daisy01.sunshine01+dennis.umlauft@gmail.com,4989123343,,,,2,2,0,,,,,Double,3.005,,Direct,,Include breakfast,1111,112,HLXQDCCP-1,BER,HLXQDCCP,Confirmée,28/04/2021,10/05/2021,11/05/2021,1,CB,-112,EUR,,,,,
Mert,Brömme,,,,Leopoldstraße 8-10,,80802,München,DE,daisy01.sunshine01+mert.brömme@gmail.com,4989123343,,,,1,1,0,,,,,Family room,3.002,,Direct,,Non Refundable Family,1111,148,ZEMASSAA-1,MUC,ZEMASSAA,Confirmée,28/04/2021,11/05/2021,12/05/2021,1,Prépaiement,-148,EUR,,,,,
Daryl,Upton,,,,22 Limerick Road,,B3 1JK,Birmingham,GB,daisy01.sunshine01+daryl.upton@gmail.com,4989123343,,,,1,1,0,,,,,Family room,3.001,,Direct,,Non Refundable Family,1111,117,SYCWTIMG-1,LND,SYCWTIMG,Confirmée,28/04/2021,11/05/2021,12/05/2021,1,Prépaiement,-117,GBP,,,,,
Mila,Mebold,,,,Leopoldstraße 8-10,,80802,München,DE,daisy01.sunshine01+mila.mebold@gmail.com,4989123343,,,,2,2,0,,,,,Double,3.016,,Direct,,Flexible,1111,119,NCBYVOZX-1,BER,NCBYVOZX,Confirmée,28/04/2021,12/05/2021,13/05/2021,1,CB,-119,EUR,,,,,
Kerim,Skibicki,,,,Leopoldstraße 8-10,,80802,München,DE,daisy01.sunshine01+kerim.skibicki@gmail.com,4989123343,,,,1,1,0,,,,,Double,G.016,,Direct,,Flexible,1111,217,UNFRPQZE-1,VIE,UNFRPQZE,Confirmée,28/04/2021,12/05/2021,14/05/2021,2,CB,-217,EUR,,,,,
Meryem,Bourrouag,,,,Leopoldstraße 8-10,,80802,München,DE,daisy01.sunshine01+meryem.bourrouag@gmail.com,4989123343,,,,1,1,0,,,,,Single,1.001,,Direct,,Flexible,1111,139,IZLUQFIJ-1,VIE,IZLUQFIJ,Confirmée,28/04/2021,14/05/2021,16/05/2021,2,CB,-139,EUR,,,,,
Natalie,Sauer,,,,22 Limerick Road,,B3 1JK,Birmingham,GB,daisy01.sunshine01+natalie.sauer@gmail.com,4989123343,,,,1,1,0,,,,,Family room,3.001,,Direct,,Non Refundable Family,1111,353,GGBQMANV-1,LND,GGBQMANV,Confirmée,28/04/2021,14/05/2021,17/05/2021,3,Prépaiement,-353,GBP,,,,,
Taha,Ackermann,,,,Leopoldstraße 8-10,,80802,München,DE,daisy01.sunshine01+taha.ackermann@gmail.com,4989123343,,,,1,1,0,,,,,Single,G.013,,Direct,,Non Refundable,1111,96,CCHNZPSJ-1,MUC,CCHNZPSJ,Confirmée,28/04/2021,15/05/2021,16/05/2021,1,Prépaiement,-96,EUR,,,,,
Nelson,Bruhns,,,,Leopoldstraße 8-10,,80802,München,DE,daisy01.sunshine01+nelson.bruhns@gmail.com,4989123343,,,,1,1,0,,,,,Double,1.020,,Direct,,Flexible,1111,206,KUDVUHYR-1,VIE,KUDVUHYR,Confirmée,28/04/2021,15/05/2021,17/05/2021,2,CB,-206,EUR,,,,,
Monica,Hirthe,,,,22 Limerick Road,,B3 1JK,Birmingham,GB,daisy01.sunshine01+monica.hirthe@gmail.com,4989123343,,,,1,1,0,,,,,Single,1.010,,Direct,,Non Refundable,1111,79,NMGATBDZ-1,LND,NMGATBDZ,Confirmée,28/04/2021,15/05/2021,16/05/2021,1,Prépaiement,-79,GBP,,,,,
Britney,Osinski,,,,22 Limerick Road,,B3 1JK,Birmingham,GB,daisy01.sunshine01+britney.osinski@gmail.com,4989123343,,,,1,1,0,,,,,Single,2.001,,Direct,,Flexible,1111,618,CUWPVPYY-1,LND,CUWPVPYY,Confirmée,28/04/2021,15/05/2021,21/05/2021,6,CB,-618,GBP,,,,,
Tyler,Van,,,,Leopoldstraße 8-10,,80802,München,DE,daisy01.sunshine01+tyler.van@gmail.com,4989123343,,,,2,2,0,,,,,Double,1.013,,Direct,,Flexible,1111,146,HCPDIQHE-1,MUC,HCPDIQHE,Confirmée,28/04/2021,16/05/2021,17/05/2021,1,CB,-146,EUR,,,,,
Isabelle,Nöh,,,,Leopoldstraße 8-10,,80802,München,DE,daisy01.sunshine01+isabelle.nöh@gmail.com,4989123343,,,,1,1,0,,,,,Single,1.010,,Direct,,Flexible,1111,93,LWZYYYNR-1,MUC,LWZYYYNR,Confirmée,28/04/2021,17/05/2021,18/05/2021,1,CB,-93,EUR,,,,,
Mattis,Scharf,,,,Leopoldstraße 8-10,,80802,München,DE,daisy01.sunshine01+mattis.scharf@gmail.com,4989123343,,,,1,1,0,,,,,Double,G.020,,Direct,,Flexible,1111,223,VCHHRBIJ-1,VIE,VCHHRBIJ,Confirmée,28/04/2021,17/05/2021,19/05/2021,2,CB,-223,EUR,,,,,
Emirhan,Conrad,,,,Leopoldstraße 8-10,,80802,München,DE,daisy01.sunshine01+emirhan.conrad@gmail.com,4989123343,,,,1,1,0,,,,,Single,3.017,,Direct,,Flexible,1111,164,ODVWIUYB-1,BER,ODVWIUYB,Confirmée,28/04/2021,18/05/2021,20/05/2021,2,CB,-164,EUR,,,,,
Alisha,Hermann,,,,Leopoldstraße 8-10,,80802,München,DE,daisy01.sunshine01+alisha.hermann@gmail.com,4989123343,,,,2,2,0,,,,,Double,1.009,,Direct,,Include breakfast,1111,397,XZBEBBOD-1,VIE,XZBEBBOD,Confirmée,28/04/2021,19/05/2021,22/05/2021,3,CB,-397,EUR,,,,,
Odin,Saumweber,,,,Leopoldstraße 8-10,,80802,München,DE,daisy01.sunshine01+odin.saumweber@gmail.com,4989123343,,,,2,2,0,,,,,Double,4.004,,Direct,,Include breakfast,1111,272,YENPNZPM-1,BER,YENPNZPM,Confirmée,28/04/2021,19/05/2021,21/05/2021,2,CB,-272,EUR,,,,,
Korbinian,Tonat,,,,Leopoldstraße 8-10,,80802,München,DE,daisy01.sunshine01+korbinian.tonat@gmail.com,4989123343,,,,2,2,0,,,,,Double,G.004,,Direct,,Flexible,1111,298,QHNNIIKP-1,MUC,QHNNIIKP,Confirmée,28/04/2021,19/05/2021,21/05/2021,2,CB,-298,EUR,,,,,
Bianca,Gesell,,,,Leopoldstraße 8-10,,80802,München,DE,daisy01.sunshine01+bianca.gesell@gmail.com,4989123343,,,,2,2,0,,,,,Double,1.004,,Direct,,Include breakfast,1111,649,ILSIUDXP-1,VIE,ILSIUDXP,Confirmée,28/04/2021,20/05/2021,25/05/2021,5,CB,-649,EUR,,,,,
Ottis,Cassin,,,,22 Limerick Road,,B3 1JK,Birmingham,GB,daisy01.sunshine01+ottis.cassin@gmail.com,4989123343,,,,2,2,0,,,,,Double,2.005,,Direct,,Include breakfast,1111,316,HRYEEVFD-1,LND,HRYEEVFD,Confirmée,28/04/2021,22/05/2021,24/05/2021,2,CB,-316,GBP,,,,,
Eldridge,Towne,,,,22 Limerick Road,,B3 1JK,Birmingham,GB,daisy01.sunshine01+eldridge.towne@gmail.com,4989123343,,,,1,1,0,,,,,Family room,3.002,,Direct,,Non Refundable Family,1111,226,ZGFGHOKJ-1,LND,ZGFGHOKJ,Confirmée,28/04/2021,22/05/2021,24/05/2021,2,Prépaiement,-226,GBP,,,,,
Robin,Mulrain,,,,Leopoldstraße 8-10,,80802,München,DE,daisy01.sunshine01+robin.mulrain@gmail.com,4989123343,,,,1,1,0,,,,,Double,G.009,,Direct,,Flexible,1111,277,XEQUWFCU-1,MUC,XEQUWFCU,Confirmée,28/04/2021,23/05/2021,25/05/2021,2,CB,-277,EUR,,,,,
Anabel,Langfeld,,,,Leopoldstraße 8-10,,80802,München,DE,daisy01.sunshine01+anabel.langfeld@gmail.com,4989123343,,,,2,2,0,,,,,Double,G.020,,Direct,,Include breakfast,1111,139,RUREUWZM-1,VIE,RUREUWZM,Confirmée,28/04/2021,24/05/2021,25/05/2021,1,CB,-139,EUR,,,,,
Emmely,Oeser,,,,Leopoldstraße 8-10,,80802,München,DE,daisy01.sunshine01+emmely.oeser@gmail.com,4989123343,,,,1,1,0,,,,,Double,G.004,,Direct,,Include breakfast,1111,424,YKDTVIQQ-1,MUC,YKDTVIQQ,Confirmée,28/04/2021,24/05/2021,27/05/2021,3,CB,-424,EUR,,,,,
Katarina,Klaas,,,,Leopoldstraße 8-10,,80802,München,DE,daisy01.sunshine01+katarina.klaas@gmail.com,4989123343,,,,2,2,0,,,,,Double,2.014,,Direct,,Non Refundable,1111,165,GZKOPYBQ-1,BER,GZKOPYBQ,Confirmée,28/04/2021,28/05/2021,30/05/2021,2,Prépaiement,-165,EUR,,,,,
Robin,Kufahl,,,,Leopoldstraße 8-10,,80802,München,DE,daisy01.sunshine01+robin.kufahl@gmail.com,4989123343,,,,1,1,0,,,,,Double,1.008,,Direct,,Flexible,1111,264,RPYYLGHK-1,MUC,RPYYLGHK,Confirmée,28/04/2021,28/05/2021,30/05/2021,2,CB,-264,EUR,,,,,
Jonathan,Mallmann,,,,Leopoldstraße 8-10,,80802,München,DE,daisy01.sunshine01+jonathan.mallmann@gmail.com,4989123343,,,,2,2,0,,,,,Double,1.005,,Direct,,Include breakfast,1111,261,KESAJQIL-1,VIE,KESAJQIL,Confirmée,28/04/2021,29/05/2021,31/05/2021,2,CB,-261,EUR,,,,,
Salome,Bultmann,,,,Leopoldstraße 8-10,,80802,München,DE,daisy01.sunshine01+salome.bultmann@gmail.com,4989123343,,,,2,2,0,,,,,Family room,3.002,,Direct,,Non Refundable Family,1111,176,ZEZBJKLY-1,MUC,ZEZBJKLY,Confirmée,28/04/2021,04/06/2021,05/06/2021,1,Prépaiement,-176,EUR,,,,,
Ella,Hermann,,,,22 Limerick Road,,B3 1JK,Birmingham,GB,daisy01.sunshine01+ella.hermann@gmail.com,4989123343,,,,2,2,0,,,,,Family room,3.001,,Direct,,Non Refundable Family,1111,395,ASSVOAJV-1,LND,ASSVOAJV,Confirmée,28/04/2021,06/06/2021,09/06/2021,3,Prépaiement,-395,GBP,,,,,
Alexia,Kubera,,,,Leopoldstraße 8-10,,80802,München,DE,daisy01.sunshine01+alexia.kubera@gmail.com,4989123343,,,,1,1,0,,,,,Double,G.019,,Direct,,Non Refundable,1111,76,CTCRDBYK-1,BER,CTCRDBYK,Confirmée,28/04/2021,20/06/2021,21/06/2021,1,Prépaiement,-76,EUR,,,,,
Gerrit,Hentschke,,,,Leopoldstraße 8-10,,80802,München,DE,daisy01.sunshine01+gerrit.hentschke@gmail.com,4989123343,,,,2,2,0,,,,,Double,1.014,,Direct,,Include breakfast,1111,256,PLZEWLTV-1,VIE,PLZEWLTV,Confirmée,28/04/2021,25/06/2021,27/06/2021,2,CB,-256,EUR,,,,,
Maik,Conrad,,,,Leopoldstraße 8-10,,80802,München,DE,daisy01.sunshine01+maik.conrad@gmail.com,4989123343,,,,1,1,0,,,,,Single,2.003,,Direct,,Flexible,1111,135,LJBOAMEF-1,VIE,LJBOAMEF,Confirmée,28/04/2021,26/06/2021,28/06/2021,2,CB,-135,EUR,,,,,
Thorben,Plank,,,,Leopoldstraße 8-10,,80802,München,DE,daisy01.sunshine01+thorben.plank@gmail.com,4989123343,,,,1,1,0,,,,,Single,2.018,,Direct,,Flexible,1111,61,WWFEFPHE-1,BER,WWFEFPHE,Confirmée,28/04/2021,12/07/2021,13/07/2021,1,CB,-61,EUR,,,,,
Fabienne,Beckmann,,,,Leopoldstraße 8-10,,80802,München,DE,daisy01.sunshine01+fabienne.beckmann@gmail.com,4989123343,,,,1,1,0,,,,,Double,1.009,,Direct,,Non Refundable,1111,211,IUFHZKUL-1,MUC,IUFHZKUL,Confirmée,28/04/2021,15/07/2021,17/07/2021,2,Prépaiement,-211,EUR,,,,,
Marika,Cronjäger,,,,Leopoldstraße 8-10,,80802,München,DE,daisy01.sunshine01+marika.cronjäger@gmail.com,4989123343,,,,2,2,0,,,,,Double,1.016,,Direct,,Flexible,1111,239,VCQBZZDT-1,VIE,VCQBZZDT,Confirmée,28/04/2021,27/07/2021,29/07/2021,2,CB,-239,EUR,,,,,
Jayson,Hildebrand,,,,Leopoldstraße 8-10,,80802,München,DE,daisy01.sunshine01+jayson.hildebrand@gmail.com,4989123343,,,,1,1,0,,,,,Single,3.007,,Direct,,Early bird,1111,54,XQRSRHAQ-1,VIE,XQRSRHAQ,Confirmée,28/04/2021,05/08/2021,06/08/2021,1,Prépaiement,-54,EUR,,,,,
Alena,Beele,,,,Leopoldstraße 8-10,,80802,München,DE,daisy01.sunshine01+alena.beele@gmail.com,4989123343,,,,2,2,0,,,,,Double,2.015,,Direct,,Flexible,1111,446,NSNKSTXY-1,BER,NSNKSTXY,Confirmée,28/04/2021,08/08/2021,12/08/2021,4,CB,-446,EUR,,,,,
Karlo,Restorff,,,,Leopoldstraße 8-10,,80802,München,DE,daisy01.sunshine01+karlo.restorff@gmail.com,4989123343,,,,1,1,0,,,,,Double,3.009,,Direct,,Non Refundable,1111,255,XLAWUIKZ-1,BER,XLAWUIKZ,Confirmée,28/04/2021,16/09/2021,19/09/2021,3,Prépaiement,-255,EUR,,,,,
Obie,Ruecker,,,,22 Limerick Road,,B3 1JK,Birmingham,GB,daisy01.sunshine01+obie.ruecker@gmail.com,4989123343,,,,2,2,0,,,,,Double,G.014,,Direct,,Include breakfast,1111,164,NIIOJCKJ-1,LND,NIIOJCKJ,Confirmée,28/04/2021,20/10/2021,21/10/2021,1,CB,-164,GBP,,,,,
